,href,address,price,space,lng,lat
34,https://www.immobiliare.it/68772607-Affitto-Bilocale-via-San-Marco-28-Milano.html,"via San Marco, 28, Moscova, Milano",2050.0,55.0,9.1887815,45.4771366
35,https://www.immobiliare.it/68772599-Affitto-Appartamento-piazza-Cinque-Giornate-1-A-Milano.html,"piazza Cinque Giornate, 1-A, Guastalla, Milano",2670.0,150.0,9.2063683,45.4627638
36,https://www.immobiliare.it/68772605-Affitto-Appartamento-viale-Cassala-61-Milano.html,"viale Cassala, 61, San Vittore, Milano",2400.0,140.0,9.1660912,45.464517
37,https://www.immobiliare.it/68772601-Affitto-Appartamento-piazza-Cinque-Giornate-1-A-Milano.html,"piazza Cinque Giornate, 1-A, Guastalla, Milano",2500.0,150.0,9.2063683,45.4627638
38,https://www.immobiliare.it/68772631-Affitto-Monolocale-via-San-Marco-55-Milano.html,"via San Marco, 55, Moscova, Milano",1100.0,40.0,9.1887853,45.4782306
39,https://www.immobiliare.it/68772621-Affitto-Quadrilocale-via-Valtellina-48-Milano.html,"via Valtellina, 48, Farini, Milano",1500.0,110.0,9.182995499999999,45.4940424
40,https://www.immobiliare.it/68772615-Affitto-Appartamento-piazza-Venino-4-Milano.html,"piazza Venino, 4, San Vittore, Milano",1800.0,130.0,9.1690015,45.46101789999999
41,https://www.immobiliare.it/68772617-Affitto-Appartamento-via-Anco-Marzio-4-Milano.html,"via Anco Marzio, 4, San Vittore, Milano",1800.0,135.0,9.170355100000002,45.46012409999999
42,https://www.immobiliare.it/68772603-Affitto-Appartamento-piazza-Cinque-Giornate-1-A-Milano.html,"piazza Cinque Giornate, 1-A, Guastalla, Milano",2420.0,140.0,9.2063683,45.4627638
43,https://www.immobiliare.it/68774143-Affitto-Monolocale-largo-Giambellino-Milano.html,"largo Giambellino, Giambellino, Milano",560.0,45.0,9.1374168,45.4476479
44,https://www.immobiliare.it/68772645-Affitto-Monolocale-via-Scipione-Pistrucci-15-Milano.html,"via Scipione Pistrucci, 15, Martini - Insubria, Milano",650.0,35.0,9.2183102,45.4545416
45,https://www.immobiliare.it/68774755-Affitto-Bilocale-viale-Bligny-64-Milano.html,"viale Bligny 64, Bocconi, Milano",970.0,50.0,9.1890964,45.4510588
46,https://www.immobiliare.it/68764439-Affitto-Bilocale-via-Carpaccio-Milano.html,"via Carpaccio, Città Studi, Milano",2100.0,65.0,9.222656299999999,45.4790343
47,https://www.immobiliare.it/68767387-Affitto-Trilocale-piazza-dei-Daini-4-Milano.html,"piazza dei Daini 4, Bicocca, Milano",1500.0,123.0,9.210885600000001,45.5159805
48,https://www.immobiliare.it/68767185-Affitto-Trilocale-viale-Monza-10-Milano.html,"viale Monza 10, Pasteur, Milano",1100.0,80.0,9.217510899999999,45.4881299
49,https://www.immobiliare.it/68765063-Affitto-Bilocale-buono-stato-secondo-piano-Milano.html,"buono stato, secondo piano, Plebisciti - Susa, Milano",1000.0,50.0,9.2226573,45.4679408
50,https://www.immobiliare.it/68769267-Affitto-Bilocale-via-Villapizzone-8-Milano.html,"via Villapizzone 8, Bovisa, Milano",750.0,52.0,9.1471427,45.50198229999999
51,https://www.immobiliare.it/68769795-Affitto-Monolocale-via-Negroli-44-Milano.html,"via Negroli 44, Agonne - Corsica, Milano",630.0,45.0,9.012892599999999,42.0396042
52,https://www.immobiliare.it/68767595-Affitto-Bilocale-via-Luigi-Manzotti-Milano.html,"via Luigi Manzotti, Dergano, Milano",700.0,50.0,9.179284599999999,45.50168559999999
53,https://www.immobiliare.it/68767525-Affitto-Monolocale-corso-Lodi-Milano.html,"corso Lodi, Lodi - Brenta, Milano",700.0,45.0,9.217673999999999,45.44215699999999
54,https://www.immobiliare.it/68769321-Affitto-Trilocale-piazza-Firenze-Milano.html,"piazza Firenze, Sempione, Milano",1200.0,75.0,9.157378099999999,45.4873488
55,https://www.immobiliare.it/68768591-Affitto-Bilocale-via-Luigi-Manzotti-Milano.html,"via Luigi Manzotti, Dergano, Milano",700.0,50.0,9.179284599999999,45.50168559999999
56,https://www.immobiliare.it/68768733-Affitto-Bilocale-via-Giulio-Alfredo-Maccacaro-Milano.html,"via Giulio Alfredo Maccacaro, Gratosoglio, Milano",750.0,60.0,9.1647763,45.4148795
57,https://www.immobiliare.it/68769283-Affitto-Bilocale-corso-Buenos-Aires-Milano.html,"corso Buenos Aires, Porta Venezia, Milano",1450.0,90.0,9.2063124,45.4757165
58,https://www.immobiliare.it/68748011-Affitto-Bilocale-via-Cola-di-Rienzo-5-Milano.html,"via Cola di Rienzo 5, Solari, Milano",1300.0,100.0,9.1607231,45.4560681
59,https://www.immobiliare.it/68755067-Affitto-Quadrilocale-via-Simone-d-Orsenigo-Milano.html,"via Simone d'Orsenigo, Cadore, Milano",2800.0,168.0,9.2120275,45.4564384
60,https://www.immobiliare.it/68755067-Affitto-Quadrilocale-via-Simone-d-Orsenigo-Milano.html,"via Simone d'Orsenigo, Cadore, Milano",2800.0,168.0,9.2120275,45.4564384
61,https://www.immobiliare.it/68763783-Affitto-Trilocale-via-Carlo-Goldoni-Milano.html,"via Carlo Goldoni, Indipendenza, Milano",1200.0,90.0,9.2147075,45.4692678
62,https://www.immobiliare.it/68769405-Affitto-Monolocale-via-PORPORA-Milano.html,"via PORPORA, Casoretto, Milano",850.0,35.0,9.2272311,45.4860721
63,https://www.immobiliare.it/68769355-Affitto-Bilocale-Mm-Crescenzago-Milano.html,"Mm Crescenzago, Milano",1200.0,66.0,9.248192,45.5052526
64,https://www.immobiliare.it/68760517-Affitto-Monolocale-via-Giulio-e-Corrado-Venini-54-Milano.html,"via Giulio e Corrado Venini 54, Pasteur, Milano",850.0,50.0,9.216399,45.492152
65,https://www.immobiliare.it/68761695-Affitto-Monolocale-piazza-della-Trivulziana-3-Milano.html,"piazza della Trivulziana 3, Bicocca, Milano",700.0,50.0,9.2118466,45.5148903
66,https://www.immobiliare.it/68762905-Affitto-Monolocale-via-Lanfranco-della-Pila-1-Milano.html,"via Lanfranco della Pila, 1, Niguarda, Milano",550.0,28.0,9.1962511,45.5166924
67,https://www.immobiliare.it/68756549-Affitto-Bilocale-corso-Porta-Romana-Milano.html,"corso Porta Romana, Quadronno - Crocetta, Milano",2300.0,50.0,9.1960839,45.4557934
68,https://www.immobiliare.it/68756561-Affitto-Monolocale-via-Buonarroti-Milano.html,"via Buonarroti, Vercelli - Wagner, Milano",1600.0,35.0,9.1549899,45.4672847
69,https://www.immobiliare.it/68756581-Affitto-Bilocale-corso-Porta-Romana-Milano.html,"corso Porta Romana, Quadronno - Crocetta, Milano",2200.0,40.0,9.1960839,45.4557934
70,https://www.immobiliare.it/68756575-Affitto-Monolocale-via-Bianca-di-Savoia-Milano.html,"via Bianca di Savoia, Quadronno - Crocetta, Milano",2400.0,30.0,9.1960839,45.4557934
71,https://www.immobiliare.it/68756565-Affitto-Bilocale-via-Bianca-di-Savoia-Milano.html,"via Bianca di Savoia, Quadronno - Crocetta, Milano",2600.0,50.0,9.1960839,45.4557934
72,https://www.immobiliare.it/68756543-Affitto-Monolocale-via-Bianca-di-Savoia-Milano.html,"via Bianca di Savoia, Quadronno - Crocetta, Milano",2200.0,24.0,9.1960839,45.4557934
73,https://www.immobiliare.it/68758639-Affitto-Monolocale-via-Romolo-Gessi-Milano.html,"via Romolo Gessi, Washington, Milano",560.0,30.0,9.1531269,45.4582398
74,https://www.immobiliare.it/68763025-Affitto-Bilocale-via-Salasco-Milano.html,"via Salasco, Bocconi, Milano",890.0,45.0,9.190470099999999,45.4499118
75,https://www.immobiliare.it/68758251-Affitto-Bilocale-piazza-Risorgimento-3-Milano.html,"piazza Risorgimento, 3, Piave - Tricolore, Milano",1300.0,60.0,9.2099475,45.4684829
76,https://www.immobiliare.it/68760655-Affitto-Bilocale-via-FOPPA-Milano.html,"via FOPPA, Solari, Milano",950.0,70.0,9.159391099999999,45.4572988
77,https://www.immobiliare.it/68761877-Affitto-Trilocale-via-Giuseppe-Ripamonti-199-Milano.html,"via Giuseppe Ripamonti 199, Vigentino - Fatima, Milano",1100.0,77.0,9.2015003,45.4320391
78,https://www.immobiliare.it/68758201-Affitto-Appartamento-ottimo-stato-piano-rialzato-Milano.html,"ottimo stato, piano rialzato, San Siro, Milano",3750.0,300.0,9.123961999999999,45.4781236
79,https://www.immobiliare.it/68761353-Affitto-Bilocale-viale-Mugello-Milano.html,"viale Mugello, Porta Vittoria, Milano",650.0,50.0,9.2238808,45.4598898
80,https://www.immobiliare.it/68761489-Affitto-Monolocale-via-dei-Tulipani-Milano.html,"via dei Tulipani, Giambellino, Milano",650.0,35.0,9.1379781,45.4491482
81,https://www.immobiliare.it/68761273-Affitto-Monolocale-via-Passo-Buole-Milano.html,"via Passo Buole, Porta Romana - Medaglie d'Oro, Milano",500.0,20.0,9.208024199999999,45.4477929
82,https://www.immobiliare.it/68761205-Affitto-Trilocale-viale-Bligny-Milano.html,"viale Bligny, Bocconi, Milano",1350.0,60.0,9.190392800000001,45.4509686
