Anno;ateco_2007_2cifre;descrizione_ateco_impr_2007_2cifre;ateco_2007_5cifre;descr_ateco_impr_2007_5cifre;N. imprese;N. unità locali;N.addetti_imp;N.addetti_ul
2007;1;COLTIVAZIONI AGRICOLE E PRODUZIONE DI PRODOTTI ANIMALI, CACCIA E SERVIZI CONNESSI;1620;Attività di supporto alla produzione animale (esclusi i servizi veterinari);1;1;1;1
2007;2;SILVICOLTURA ED UTILIZZO DI AREE FORESTALI;2200;Utilizzo di aree forestali;1;1;1;1
2007;6;ESTRAZIONE DI PETROLIO GREGGIO E DI GAS NATURALE;6200;Estrazione di gas naturale;2;5;12459;1339,22
2007;8;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE;8110;Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia;8;8;57,17;25,83
2007;8;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE;8120;"Estrazione di ghiaia, sabbia; estrazione di argille e caolino";23;24;237,95;100,76
2007;8;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE;8930;Estrazione di sale;3;3;277;26,81
2007;8;ALTRE ATTIVITÀ DI ESTRAZIONE DI MINERALI DA CAVE E MINIERE;8990;Estrazione di altri minerali nca;7;7;367,49;31,48
2007;10;INDUSTRIE ALIMENTARI;10110;Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi);13;13;401,27;45,28
2007;10;INDUSTRIE ALIMENTARI;10130;Produzione di prodotti a base di carne (compresa la carne di volatili);13;13;352,99;66,34
2007;10;INDUSTRIE ALIMENTARI;10200;Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera;5;5;631,42;51,1
2007;10;INDUSTRIE ALIMENTARI;10310;Lavorazione e conservazione delle patate;1;1;115;1
2007;10;INDUSTRIE ALIMENTARI;10320;Produzione di succhi di frutta e di ortaggi;1;1;3,75;1,2
2007;10;INDUSTRIE ALIMENTARI;10390;Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi);13;16;252,08;85,69
2007;10;INDUSTRIE ALIMENTARI;10411;Produzione di olio di oliva da olive prevalentemente non di produzione propria;3;3;6,92;3,89
2007;10;INDUSTRIE ALIMENTARI;10420;Produzione di margarina e di grassi commestibili simili;1;1;29;1
2007;10;INDUSTRIE ALIMENTARI;10511;Trattamento igienico del latte;4;4;3685;197,37
2007;10;INDUSTRIE ALIMENTARI;10512;Produzione dei derivati del latte;13;13;3254,58;808,29
2007;10;INDUSTRIE ALIMENTARI;10520;Produzione di gelati senza vendita diretta al pubblico;19;20;254,41;82,14
2007;10;INDUSTRIE ALIMENTARI;10611;Molitura del frumento;1;1;1;1
2007;10;INDUSTRIE ALIMENTARI;10613;Lavorazione del riso;6;6;202,08;72,25
2007;10;INDUSTRIE ALIMENTARI;10620;Produzione di amidi e di prodotti amidacei (compresa produzione di olio di mais);2;2;672;112,82
2007;10;INDUSTRIE ALIMENTARI;10711;Produzione di prodotti di panetteria freschi;392;411;1904,08;1659,82
2007;10;INDUSTRIE ALIMENTARI;10712;Produzione di pasticceria fresca;105;109;674,53;416,26
2007;10;INDUSTRIE ALIMENTARI;10720;"Produzione di fette biscottate, biscotti; prodotti di pasticceria conservati";11;18;1085,17;487,5
2007;10;INDUSTRIE ALIMENTARI;10730;Produzione di paste alimentari, di cuscus e di prodotti farinacei simili;48;49;154,92;112,66
2007;10;INDUSTRIE ALIMENTARI;10820;Produzione di cacao in polvere, cioccolato, caramelle e confetterie;14;14;4451,42;1370,58
2007;10;INDUSTRIE ALIMENTARI;10830;Lavorazione del tè e del caffè;18;18;271,41;71,01
2007;10;INDUSTRIE ALIMENTARI;10840;Produzione di condimenti e spezie;5;5;24;20,39
2007;10;INDUSTRIE ALIMENTARI;10850;Produzione di pasti e piatti pronti (preparati, conditi, cucinati e confezionati);4;4;8,92;8,92
2007;10;INDUSTRIE ALIMENTARI;10860;Produzione di preparati omogeneizzati e di alimenti dietetici;5;7;943,5;91,8
2007;10;INDUSTRIE ALIMENTARI;10890;Produzione di altri prodotti alimentari nca;54;57;423,3;253,96
2007;10;INDUSTRIE ALIMENTARI;10910;Produzione di mangimi per l'alimentazione degli animali da allevamento;5;5;155;40,4
2007;10;INDUSTRIE ALIMENTARI;10920;Produzione di prodotti per l'alimentazione degli animali da compagnia;3;3;640;105,95
2007;11;INDUSTRIA DELLE BEVANDE;11010;Distillazione, rettifica e miscelatura degli alcolici;7;8;976,5;394,83
2007;11;INDUSTRIA DELLE BEVANDE;11021;Produzione di vini da tavola e v.p.q.r.d.;4;4;48,25;5,54
2007;11;INDUSTRIA DELLE BEVANDE;11022;Produzione di vino spumante e altri vini speciali;2;2;136;2,2
2007;11;INDUSTRIA DELLE BEVANDE;11050;Produzione di birra;1;1;1006;412,55
2007;11;INDUSTRIA DELLE BEVANDE;11070;Industria delle bibite analcoliche, delle acque minerali e di altre acque in bottiglia;8;8;5004,75;783,19
2007;13;INDUSTRIE TESSILI;13100;Preparazione e filatura di fibre tessili;33;34;1567,34;229,27
2007;13;INDUSTRIE TESSILI;13200;Tessitura;36;43;5894,42;423,55
2007;13;INDUSTRIE TESSILI;13300;Finissaggio dei tessili;29;29;677,72;174,77
2007;13;INDUSTRIE TESSILI;13910;Fabbricazione di tessuti a maglia;14;16;196,5;34,59
2007;13;INDUSTRIE TESSILI;13921;Confezionamento di biancheria da letto, da tavola e per l'arredamento;57;66;1075,49;210,79
2007;13;INDUSTRIE TESSILI;13922;Fabbricazione di articoli in materie tessili nca;61;63;245,99;162,28
2007;13;INDUSTRIE TESSILI;13930;Fabbricazione di tappeti e moquette;2;2;3,92;3,92
2007;13;INDUSTRIE TESSILI;13940;Fabbricazione di spago, corde, funi e reti;4;4;44;21,14
2007;13;INDUSTRIE TESSILI;13950;Fabbricazione di tessuti non tessuti e di articoli in tali materie, esclusi gli articoli di abbigliamento;7;7;565,25;110,27
2007;13;INDUSTRIE TESSILI;13961;Fabbricazione di nastri, etichette e passamanerie di fibre tessili;16;16;246,25;96,71
2007;13;INDUSTRIE TESSILI;13962;Fabbricazione di altri articoli tessili tecnici ed industriali;32;35;390,33;110,72
2007;13;INDUSTRIE TESSILI;13991;Fabbricazione di ricami;12;13;75,66;23,33
2007;13;INDUSTRIE TESSILI;13992;Fabbricazione di tulle, pizzi e merletti;16;17;131,18;87,4
2007;13;INDUSTRIE TESSILI;13999;Fabbricazione di feltro e articoli tessili diversi;1;1;1;1
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14110;Confezione di abbigliamento in pelle e similpelle;22;23;70,76;57,96
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14120;Confezione di camici, divise ed altri indumenti da lavoro;25;25;229,16;129,8
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14131;Confezione in serie di abbigliamento esterno;395;442;25985,18;1737,74
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14132;Sartoria e confezione su misura di abbigliamento esterno;211;218;959,65;496,1
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14140;Confezione di camice, T-shirt, corsetteria e altra biancheria intima;87;103;2392,74;279,08
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14191;Confezioni varie e accessori per l'abbigliamento;187;204;3245,44;623,48
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14192;Confezioni di abbigliamento sportivo o indumenti particolari;61;66;715,48;210,01
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14200;Confezione di articoli in pelliccia;105;106;285,49;201,65
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14310;Fabbricazione di articoli di calzetteria in maglia;12;12;1017,33;49
2007;14;"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO; CONFEZIONE DI ARTICOLI IN PELLE E PELLICCIA";14390;Fabbricazione di pullover, cardigan ed altri articoli simili a maglia;85;95;1919,41;281,16
2007;15;FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI;15110;"Preparazione e concia del cuoio e pelle; preparazione e tintura di pellicce";10;11;140,5;97,45
2007;15;FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI;15120;Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria;262;281;5708,23;2059,41
2007;15;FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI;15201;Fabbricazione di calzature;66;88;8408,17;474,28
2007;15;FABBRICAZIONE DI ARTICOLI IN PELLE E SIMILI;15202;Fabbricazione di parti in cuoio per calzature;18;19;241,58;74,39
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16100;Taglio e piallatura del legno;44;44;131,01;68,28
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16210;Fabbricazione di fogli da impiallacciatura e di pannelli a base di legno;26;27;195,58;54,59
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16220;Fabbricazione di pavimenti in parquet assemblato;4;4;7,92;7,92
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16231;Fabbricazione di porte e finestre in legno (escluse porte blindate);44;45;220,16;81,83
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16232;Fabbricazione di altri elementi in legno e di falegnameria per l'edilizia;68;68;283,02;162,15
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16240;Fabbricazione di imballaggi in legno;19;19;80,75;55,33
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16291;Fabbricazione di prodotti vari in legno (esclusi i mobili);44;44;133,29;72,37
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16292;Fabbricazione dei prodotti della lavorazione del sughero;1;1;2;2
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16293;Fabbricazione di articoli in paglia e materiali da intreccio;2;2;5,33;5,33
2007;16;"INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO, ESCLUSI I MOBILI; FABBRICAZIONE DI ARTICOLI IN PAGLIA E MATERIALI DA INTRECCIO";16294;Laboratori di corniciai;93;93;165,51;133,71
2007;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA;17110;Fabbricazione di pasta-carta;1;1;4;4
2007;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA;17120;Fabbricazione di carta e cartone;10;10;6148,83;102,49
2007;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA;17210;Fabbricazione di carta e cartone ondulato e di imballaggi di carta e cartone (esclusi quelli in carta pressata);26;26;1449,5;156,08
2007;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA;17220;Fabbricazione di prodotti igienico-sanitari e per uso domestico in carta e ovatta di cellulosa;4;4;119;41,96
2007;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA;17230;Fabbricazione di prodotti cartotecnici;77;77;1156,96;311,9
2007;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA;17240;Fabbricazione di carta da parati;4;4;38,91;4,53
2007;17;FABBRICAZIONE DI CARTA E DI PRODOTTI DI CARTA;17290;Fabbricazione di altri articoli di carta e cartone;27;28;284,5;175,29
2007;18;STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI;18110;Stampa di giornali;6;6;338,17;85,67
2007;18;STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI;18120;Altra stampa;582;605;4109,7;2515,39
2007;18;STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI;18130;Lavorazioni preliminari alla stampa e ai media;289;300;2355,92;1437,32
2007;18;STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI;18140;Legatoria e servizi connessi;76;77;578,07;288,93
2007;18;STAMPA E RIPRODUZIONE DI SUPPORTI REGISTRATI;18200;Riproduzione di supporti registrati;54;54;277,42;208,07
2007;19;FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO;19100;Fabbricazione di prodotti di cokeria;1;1;13,83;12,99
2007;19;FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO;19201;Raffinerie di petrolio;6;6;3381;234,14
2007;19;FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO;19202;Preparazione o miscelazione di derivati del petrolio (esclusa la petrolchimica);8;10;528,42;188,31
2007;19;FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO;19203;Miscelazione di gas petroliferi liquefatti (GPL) e loro imbottigliamento;2;2;1625;262,36
2007;19;FABBRICAZIONE DI COKE E PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO;19204;Fabbricazione di emulsioni di bitume, di catrame e di leganti per uso stradale;3;3;31;5
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20110;Fabbricazione di gas industriali;8;9;1647;151,23
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20120;Fabbricazione di coloranti e pigmenti;7;7;195,25;23,37
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20130;Fabbricazione di altri prodotti chimici di base inorganici;18;19;1467,58;170,32
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20140;Fabbricazione di altri prodotti chimici di base organici;20;21;7518,74;193,15
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20150;Fabbricazione di fertilizzanti e composti azotati, esclusa la fabbricazione di compost;3;3;412;89,85
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20160;Fabbricazione di materie plastiche in forme primarie;22;24;1719,33;179,16
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20170;Fabbricazione di gomma sintetica in forme primarie;1;1;63;12
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20200;Fabbricazione di agrofarmaci e di altri prodotti chimici per l'agricoltura, esclusi i concimi;8;8;652,5;329,28
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20300;Fabbricazione di pitture, vernici e smalti, inchiostri da stampa e adesivi sintetici;40;42;3461,08;1278,01
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20411;Fabbricazione di saponi, detergenti e di agenti organici tensioattivi, esclusi i prodotti per toletta;15;20;6192,41;1114,2
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20412;Fabbricazione di specialità chimiche per uso domestico e per manutenzione;6;6;129,67;9,98
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20420;Fabbricazione di prodotti per toletta: profumi, cosmetici, saponi e simili;92;99;1759,32;824,45
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20520;Fabbricazione di colle;3;3;99;58,25
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20530;Fabbricazione di oli essenziali;13;13;231,73;112,85
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20591;Fabbricazione di prodotti chimici per uso fotografico;1;1;1,92;1,92
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20592;Fabbricazione di prodotti chimici organici ottenuti da prodotti di base derivati da processi di fermentazione o da materie prime vegetali;9;9;118;43,04
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20593;Trattamento chimico degli acidi grassi;1;1;0,92;0,92
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20594;Fabbricazione di prodotti chimici vari per uso industriale (compresi i preparati antidetonanti e antigelo);48;49;1491;306,58
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20595;Fabbricazione di prodotti chimici impiegati per ufficio e per il consumo non industriale;4;4;51,92;51,92
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20596;Fabbricazione di prodotti ausiliari per le industrie tessili e del cuoio;4;4;128,41;67,13
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20597;Fabbricazione di prodotti elettrochimici (esclusa produzione di cloro, soda e potassa) ed elettrotermici;2;2;386;156,87
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20599;Fabbricazione di altri prodotti chimici nca;3;3;69;38,67
2007;20;FABBRICAZIONE DI PRODOTTI CHIMICI;20600;Fabbricazione di fibre sintetiche e artificiali;6;6;1048;80,84
2007;21;FABBRICAZIONE DI PRODOTTI FARMACEUTICI DI BASE E DI PREPARATI FARMACEUTICI;21100;Fabbricazione di prodotti farmaceutici di base;24;24;2799,99;965,27
2007;21;FABBRICAZIONE DI PRODOTTI FARMACEUTICI DI BASE E DI PREPARATI FARMACEUTICI;21200;Fabbricazione di medicinali e preparati farmaceutici;78;85;16824,49;7485,75
2007;22;FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE;22111;Fabbricazione di pneumatici e di camere d'aria;1;1;3632;926,54
2007;22;FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE;22190;Fabbricazione di altri prodotti in gomma;40;42;1241,81;209,28
2007;22;FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE;22210;Fabbricazione di lastre, fogli, tubi e profilati in materie plastiche;36;36;1132,49;174,1
2007;22;FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE;22220;Fabbricazione di imballaggi in materie plastiche;51;52;3143,94;455,23
2007;22;FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE;22230;Fabbricazione di articoli in plastica per l'edilizia;21;21;625,75;65,22
2007;22;FABBRICAZIONE DI ARTICOLI IN GOMMA E MATERIE PLASTICHE;22290;Fabbricazione di altri articoli in materie plastiche;185;187;3670,08;839,51
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23110;Fabbricazione di vetro piano;1;1;783;7,99
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23120;Lavorazione e trasformazione del vetro piano;39;40;575,42;136,84
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23130;Fabbricazione di vetro cavo;11;12;1831,75;281,05
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23140;Fabbricazione di fibre di vetro;2;2;463;2
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23191;Fabbricazione di vetrerie per laboratori, per uso igienico, per farmacia;1;1;3;1
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23192;Lavorazione di vetro a mano e a soffio artistico;18;19;270,42;31,07
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23199;Fabbricazione di altri prodotti in vetro compresa la vetreria tecnica;13;13;76,42;28,14
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23200;Fabbricazione di prodotti refrattari;8;8;888,5;22,61
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23310;Fabbricazione di piastrelle in ceramica per pavimenti e rivestimenti;3;3;1361;7
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23320;Fabbricazione di mattoni, tegole ed altri prodotti per l'edilizia in terracotta;7;7;84,83;20,98
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23410;Fabbricazione di prodotti in ceramica per usi domestici e ornamentali;13;13;27,17;26,1
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23420;Fabbricazione di articoli sanitari in ceramica;4;4;2161;11,13
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23430;Fabbricazione di isolatori e di pezzi isolanti in ceramica;1;1;67;1,05
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23440;Fabbricazione di altri prodotti in ceramica per uso tecnico e industriale;4;5;38,33;24,33
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23490;Fabbricazione di altri prodotti in ceramica;3;3;16,83;16,83
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23510;Produzione di cemento;5;5;3713,42;96,01
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23521;Produzione di calce;1;1;1;1
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23610;Fabbricazione di prodotti in calcestruzzo per l'edilizia;16;17;361,01;54
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23620;Fabbricazione di prodotti in gesso per l'edilizia;4;4;141,75;53,08
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23630;Produzione di calcestruzzo pronto per l'uso;8;11;1602,17;38,93
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23640;Produzione di malta;1;1;73;3,95
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23650;Fabbricazione di prodotti in fibrocemento;1;1;96;1
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23690;Fabbricazione di altri prodotti in calcestruzzo, gesso e cemento;5;5;14,92;14,92
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23701;Segagione e lavorazione delle pietre e del marmo;28;28;219,17;89,89
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23702;Lavorazione artistica del marmo e di altre pietre affini, lavori in mosaico;35;36;270,33;71,17
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23703;Frantumazione di pietre e minerali vari fuori della cava;3;3;24,92;4,82
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23910;Produzione di prodotti abrasivi;14;14;126,07;59,68
2007;23;FABBRICAZIONE DI ALTRI PRODOTTI DELLA LAVORAZIONE DI MINERALI NON METALLIFERI;23990;Fabbricazione di altri prodotti in minerali non metalliferi nca;24;25;654,08;174,59
2007;24;METALLURGIA;24100;Siderurgia - Fabbricazione di ferro, acciaio e ferroleghe;27;28;18880,83;233,19
2007;24;METALLURGIA;24201;Fabbricazione di tubi e condotti senza saldatura;5;5;101,08;17,63
2007;24;METALLURGIA;24202;Fabbricazione di tubi e condotti saldati e simili;9;9;273,75;94,84
2007;24;METALLURGIA;24320;Laminazione a freddo di nastri;5;5;172;65,47
2007;24;METALLURGIA;24330;Profilatura mediante formatura o piegatura a freddo;9;10;79,99;47,6
2007;24;METALLURGIA;24340;Trafilatura a freddo;9;9;288,42;189,55
2007;24;METALLURGIA;24410;Produzione di metalli preziosi e semilavorati;12;12;109,5;51,63
2007;24;METALLURGIA;24420;Produzione di alluminio e semilavorati;12;13;1998,09;295,15
2007;24;METALLURGIA;24440;Produzione di rame e semilavorati;4;4;1505;65,18
2007;24;METALLURGIA;24450;Produzione di altri metalli non ferrosi e semilavorati;3;3;6;6
2007;24;METALLURGIA;24510;Fusione di ghisa e produzione di tubi e raccordi in ghisa;8;8;206,26;72,22
2007;24;METALLURGIA;24520;Fusione di acciaio;1;1;189;0,96
2007;24;METALLURGIA;24530;Fusione di metalli leggeri;15;15;230,15;78,87
2007;24;METALLURGIA;24540;Fusione di altri metalli non ferrosi;9;11;148,92;72,96
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25110;Fabbricazione di strutture metalliche e parti assemblate di strutture;144;147;2190,32;635,37
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25121;Fabbricazione di porte, finestre e loro telai, imposte e cancelli metallici;113;116;917,76;429,69
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25122;Fabbricazione di strutture metalliche per tende da sole, tende alla veneziana e simili;31;31;153,6;87,28
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25210;Fabbricazione di radiatori e contenitori in metallo per caldaie per il riscaldamento centrale;3;3;6;2,82
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25290;Fabbricazione di cisterne, serbatoi e contenitori in metallo per impieghi di stoccaggio o di produzione;21;21;841,75;91,66
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25300;Fabbricazione di generatori di vapore, esclusi i contenitori in metallo per caldaie per il riscaldamento centrale ad acqua calda;13;13;576,08;260,7
2007;25;FABBRICAZIONE DI PRODOTTI IN METALLO, ESCLUSI MACCHINARI E ATTREZZATURE;25400;Fabbricazione di armi e munizioni;3;3;948;8,51
