OBJECTID;COD_PROG;INDIRIZZO;TIPO_MACRO;R10;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
224;A268;VIA MEDICI DEL VASCELLO GIACOMO 14;PRODUTTIVO;SI;4;33;ROGOREDO - SANTA GIULIA;9.23726910847117;45.4431314206501;(45.4431314206501, 9.23726910847117)
225;A270;VIA BRUNETTI ANGELO 26;PRODUTTIVO;SI;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.13306312381032;45.5052619190007;(45.5052619190007, 9.13306312381032)
226;A275;VIA TERRUGGIA GIOVANNI 11;RESIDENZIALE;SI;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;9.18985275817016;45.5171082356496;(45.5171082356496, 9.18985275817016)
227;A301;VIA RUTILIA 34;INDEFINITO/MISTO;SI;5;37;MORIVIONE;9.19516729650363;45.4405247310508;(45.4405247310508, 9.19516729650363)
228;A309;VIA CORTINA D'AMPEZZO 10;INDUSTRIALE;SI;5;36;SCALO ROMANA;9.20787612703014;45.4357797138541;(45.4357797138541, 9.20787612703014)
229;A310;VIA PASSO PORDOI 14;INDUSTRIALE;SI;5;36;SCALO ROMANA;9.20933039504247;45.4353615959418;(45.4353615959418, 9.20933039504247)
230;A313;VIA PIZZI GIAN FRANCESCO 5;PRODUTTIVO;SI;5;36;SCALO ROMANA;9.20113453254872;45.4370476246862;(45.4370476246862, 9.20113453254872)
231;A328;VIA PALIZZI FILIPPO 86;RESIDENZIALE;SI;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.13726071793228;45.5081796114064;(45.5081796114064, 9.13726071793228)
232;A346;VIA MONTANELLI GIUSEPPE 5;PRODUTTIVO;SI;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.13932328724429;45.5017883620135;(45.5017883620135, 9.13932328724429)
233;A602;VIA VALSOLDA 19;TERZIARIO;SI;6;45;MONCUCCO - SAN CRISTOFORO;9.16923501198652;45.4426647959328;(45.4426647959328, 9.16923501198652)
234;A590;VIA GIULIETTI 9;RESIDENZIALE;SI;2;19;PADOVA - TURRO - CRESCENZAGO;9.24737032531969;45.5086280288808;(45.5086280288808, 9.24737032531969)
235;A597;VIA PRIVATA GADAMES 90;RESIDENZIALE;SI;8;72;MAGGIORE - MUSOCCO - CERTOSA;9.12540441654793;45.5008314723015;(45.5008314723015, 9.12540441654793)
