Regione;Provincia;Comune;Indirizzo;Categoria Patrimoniale;Codice bene;Codice compendio;Descrizione;Superficie Fondiaria area (MQ)
MOLISE;ISERNIA;ACQUAVIVA D'ISERNIA;"LOCALITA' FUCILE SNC";PATRIMONIO DISPONIBILE;IS0258;ISB0479;"TERRENO AGRICOLO";370
MOLISE;ISERNIA;ACQUAVIVA D'ISERNIA;"STRADA COMUNALE CASALE snc";PATRIMONIO DISPONIBILE;IS0259;ISB0480;"TERRENO AGRICOLO";2160
MOLISE;ISERNIA;ACQUAVIVA D'ISERNIA;"STRADA COMUNALE CASALE SNC";PATRIMONIO DISPONIBILE;IS0260;ISB0481;"TERRENO AGRICOLO";420
MOLISE;ISERNIA;AGNONE;"LOCALITA' VERRINO S.N.C.";PATRIMONIO DISPONIBILE;IS0004;ISB0001;"TERRENO AGRICOLO";3110
MOLISE;ISERNIA;AGNONE;"LOCALITA' STRADA STATALE  N. 85 S.N.C.";PATRIMONIO DISPONIBILE;IS0576;ISB0530;"TERRENO AGRICOLO";1050
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0630;ISB0572;"TERRENO AGRICOLO, QUOTA 1/2";1620
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0631;ISB0573;"TERRENO DI PERTINENZA, QUOTA 1/2";250
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0627;ISB0574;"TERRENO AGRICOLO, QUOTA 1/2";2500
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0619;ISB0575;"TERRENO AGRICOLO, QUOTA 1/4";9150
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0625;ISB0576;"TERRENI AGRICOLI, QUOTA 1/2";3700
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0624;ISB0577;"TERRENI AGRICOLI, QUOTA 1/2";39080
MOLISE;ISERNIA;AGNONE;"CONTRADE SNC";PATRIMONIO DISPONIBILE;IS0623;ISB0578;"TERRENI AGRICOLI, QUOTA 1/2";1450
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0622;ISB0579;"TERRENO AGRICOLO, QUOTA 1/4";880
MOLISE;ISERNIA;AGNONE;"CONTRADA SNC";PATRIMONIO DISPONIBILE;IS0626;ISB0581;"TERRENI AGRICOLI, QUOTA 1/2";7050
MOLISE;ISERNIA;AGNONE;"STRADA COMUNALE DEGLI OGLIARI SNC";PATRIMONIO INDISPONIBILE;IS0785;ISB0694;"CASERMA DEI CARABINIERI - AREA DI PERTINENZA";8500
MOLISE;CAMPOBASSO;BARANELLO;"LOCALITA` BARANELLO -";PATRIMONIO DISPONIBILE;CB0385;CBB0500;"TERRENO AGRICOLO LOC. PETROLE - Q.P. 1/2";700
MOLISE;CAMPOBASSO;BARANELLO;"STRADA COMUNALE PETROLE snc";PATRIMONIO DISPONIBILE;CB0167;CBB0567;"TERRENI AGRICOLI - Q.P. 1/2";3736,24
MOLISE;CAMPOBASSO;BARANELLO;"STRADA COMUNALE MACCHIE SNC";PATRIMONIO DISPONIBILE;CB0612;CBB0697;"TERRENO AGRICOLO";910
MOLISE;CAMPOBASSO;BARANELLO;"STRADA COMUNALE MACCHIE SNC";PATRIMONIO DISPONIBILE;CB0613;CBB0698;"TERRENO AGRICOLO";2740
MOLISE;CAMPOBASSO;BARANELLO;"LOCALITA' CASINO ANNICCHIALE SNC";PATRIMONIO DISPONIBILE;CB0615;CBB0700;"TERRENO AGRICOLO IN LOCALITA' CASINO ANNICCHIALE";270
MOLISE;CAMPOBASSO;BARANELLO;"SP 49 SNC";PATRIMONIO DISPONIBILE;CB0616;CBB0701;"FABBRICATO RURALE E AREA PERTINENZIALE";352
MOLISE;CAMPOBASSO;BARANELLO;"Terranova -";PATRIMONIO DISPONIBILE;CB0891;CBB0848;"TERRENO";95
MOLISE;CAMPOBASSO;BOJANO;"LOCALITA` COLLE FALASCA -";PATRIMONIO DISPONIBILE;CB0264;CBB0291;"TERRENO USO PASCOLO LOC. COLLE FALASCA BOIANO";270
MOLISE;CAMPOBASSO;BOJANO;"STRADA VICINALE SEPOLCRO snc";PATRIMONIO DISPONIBILE;CB0154;CBB0499;"BOSCO CEDUO LOC. LIPONI - Q.P. 20/100";652,33
MOLISE;CAMPOBASSO;BOJANO;"CENTRO URBANO SNC";PATRIMONIO DISPONIBILE;CB0164;CBB0516;"TERRENO AL CENTRO URBANO - Q.P. 20/100";198,33
MOLISE;CAMPOBASSO;BOJANO;"STRADA COMUNALE PERROCCO CHISARIELLO snc";PATRIMONIO DISPONIBILE;CB0071;CBB0517;"TERRENO";378
MOLISE;CAMPOBASSO;BOJANO;"VIA CROCE  72";PATRIMONIO INDISPONIBILE;CB0748;CBB0753;"AREA DI PERTINENZA E DI SEDIME DELLA CASERMA DEL CORPO FORESTALE DELLO STATO";1136
MOLISE;CAMPOBASSO;BOJANO;"BORGATA MALATESTA -";PATRIMONIO DISPONIBILE;CB0995;CBB0896;"TERRENO AGRICOLO SDEMANILIZZATO FG.43 P.LLA 944";710
MOLISE;CAMPOBASSO;BOJANO;"VIA CALDERARI -";DEMANIO STORICO ARTISTICO;CB0497;CBD0005;"CORSO D'ACQUA";1000
MOLISE;CAMPOBASSO;BUSSO;"STRADA INTERPODERALE PESCO LA CORTE SNC";PATRIMONIO DISPONIBILE;CB0621;CBB0706;"TERRENO AGRICOLO IN LOCALITA' COLLE DELLA CORTE";1390
MOLISE;CAMPOBASSO;BUSSO;"Strada Comunale Fonte delle Cese -";PATRIMONIO DISPONIBILE;CB0881;CBB0837;"TERRENO AGRICOLO";5900
MOLISE;CAMPOBASSO;CAMPOBASSO;"S. MARIA DI FUORI SNC";PATRIMONIO DISPONIBILE;CB0576;CBB0358;"ISOLA ECOLOGICA CENTRO DI RACCOLTA DIFFERENZIATA COMUNE DI CAMPOBASSO";15930,25
MOLISE;CAMPOBASSO;CAMPOBASSO;"VIA TIBERIO SNC";PATRIMONIO INDISPONIBILE;CB0780;CBB0363;"AREA DI PERTINENZA INTERO COMPENDIO";1305,5
MOLISE;CAMPOBASSO;CAMPOBASSO;"STRADA COMUNALE CAPO RUVO snc";PATRIMONIO DISPONIBILE;CB0102;CBB0365;"RELITTI DI SUOLO DEMANIALE";2137,66
MOLISE;CAMPOBASSO;CAMPOBASSO;"VIA SANT'ANTONIO DEI LAZZARI 5";PATRIMONIO INDISPONIBILE;CB0037;CBB0376;"TERRENO SPECIALE";12958,99
MOLISE;CAMPOBASSO;CAMPOBASSO;"VIALE PRINCIPE DI PIEMONTE -";PATRIMONIO INDISPONIBILE;CB0044;CBB0412;"TERRENO SU CUI SORGE IL TRIBUNALE MINORILE";1743,17
MOLISE;CAMPOBASSO;CAMPOBASSO;"CONTRADA CAMPOSARCONE -";PATRIMONIO DISPONIBILE;CB0352;CBB0431;"TERRENO AGRICOLO SEMINATIVO";12340
MOLISE;CAMPOBASSO;CAMPOBASSO;"VIA DEI NOVELLI -";PATRIMONIO DISPONIBILE;CB0171;CBB0582;"TERRENO AD USO BOCCIOFILA E STRADINA DI PASSAGGIO";1431,94
MOLISE;CAMPOBASSO;CAMPOBASSO;"LOCALITA' PIANELLA -";PATRIMONIO DISPONIBILE;CB0445;CBB0585;"EX ALVEO CANALE ACQUE PUBBLICHE";70
MOLISE;CAMPOBASSO;CAMPOBASSO;"STRADA PROVINCIALE N. 41 snc";PATRIMONIO DISPONIBILE;CB0661;CBB0617;"TERRENO EX IMPIANTO DI PRODUZIONE CALCESTRUZZO";5430
MOLISE;CAMPOBASSO;CAMPOBASSO;"STRADA STATALE MOLESANA -";PATRIMONIO DISPONIBILE;CB0187;CBB0618;"TERRENO EDIFICABILE";16477,99
MOLISE;CAMPOBASSO;CAMPOBASSO;"LOCALITA' SANTO STEFANO TRATTURO -";PATRIMONIO DISPONIBILE;CB0462;CBB0619;"TERRENO AGRICOLO";430
MOLISE;CAMPOBASSO;CAMPOBASSO;"CONTRADA LUPARA SNC";PATRIMONIO DISPONIBILE;CB0603;CBB0667;"TERRENO AGRICOLO CON SOVRASTANTE CAPANNONE IN CORSO DI COSTRUZIONE";11320
MOLISE;CAMPOBASSO;CAMPOBASSO;"STRADA INTERPODERALE SNC";PATRIMONIO DISPONIBILE;CB0773;CBB0768;"TERRENO DI NATURA AGRICOLA";2030
MOLISE;CAMPOBASSO;CAMPOBASSO;"CONTRADA FEUDO SNC";PATRIMONIO DISPONIBILE;CB0678;CBB0779;"TERRENO AGRICOLO";14250
MOLISE;CAMPOBASSO;CAMPOBASSO;"Via Luigi D'Amato -";PATRIMONIO DISPONIBILE;CB1044;CBB0907;"AREA DI SEDIME E PERTINENZA DELL'EX COMPLESSO SCOLASTICO N. GUERRIZIO";1862
MOLISE;CAMPOBASSO;CAMPOCHIARO;"CONTRADA VICENDE SNC";PATRIMONIO DISPONIBILE;CB0664;CBB0742;"TERRENO AGRICOLO AD USO CAVA - FG. 9 P.LLA 76";1990
MOLISE;CAMPOBASSO;CAMPODIPIETRA;"STRADA PROVINCIALE N. 119 CAMPODIPIETRA - VALLARELLA snc";PATRIMONIO DISPONIBILE;CB0134;CBB0441;"TERRENO AGRICOLO CON ENTROSTANTE FABBRICATO RURALE - Q.P. 13/100.";12256,6
MOLISE;CAMPOBASSO;CAMPOMARINO;"CONTRADA NUOVA CLITERNIA 126";PATRIMONIO DISPONIBILE;CB0077;CBB0043;"AREA EDIFICATA";780
MOLISE;CAMPOBASSO;CAMPOMARINO;"VIA B.  CROCE 201";PATRIMONIO INDISPONIBILE;CB0030;CBB0299;"GUARDIA DI FINANZA-AREA DI PERTINANZA AL FABBRICATO";717
MOLISE;CAMPOBASSO;CAMPOMARINO;"C.DA RAMITELLI SNC";PATRIMONIO DISPONIBILE;CB0010;CBB0389;"TERRENO AGRICOLO";8160
MOLISE;CAMPOBASSO;CAMPOMARINO;"CONTRADA NUOVA CLITERNIA SNC";PATRIMONIO DISPONIBILE;CB0673;CBB0744;"AREA URBANA EDIFICABILE EX SCHEDA 46 DI 140 MQ. - FOGLIO 40 P.LLA 25 SUB. 3";140
MOLISE;CAMPOBASSO;CAMPOMARINO;"CONTRADA NUOVA CLITERNIA SNC";PATRIMONIO DISPONIBILE;CB0674;CBB0745;"AREA EDIFICABILE -  URBANA EX SCHEDA 46 - FOGLIO 40 P.LLA 25 SUB. 4";50
MOLISE;CAMPOBASSO;CAMPOMARINO;"CONTRADA NUOVA CLITERNIA SNC";PATRIMONIO DISPONIBILE;CB0676;CBB0746;"AREA EDIFICABILE - URBANA EX SCHEDA 46 - FOGLIO 40 P.LLA 25 SUB. 5";20
MOLISE;CAMPOBASSO;CAMPOMARINO;"VALLONE DELLE POSTE SNC";PATRIMONIO DISPONIBILE;CB0794;CBB0798;"TERRENO -";14868
MOLISE;CAMPOBASSO;CAMPOMARINO;"VIA ZACCAGNINI SNC";PATRIMONIO DISPONIBILE;CB0824;CBB0811;"TERRENO";730
MOLISE;CAMPOBASSO;CAMPOMARINO;"LOCALITA' STRADA VICINALE FANTINO SNC";PATRIMONIO DISPONIBILE;CB0833;CBB0817;"TERRENO";41797
MOLISE;CAMPOBASSO;CAMPOMARINO;"STRADA STATALE 16 ADRIATICA SNC";PATRIMONIO DISPONIBILE;CB0841;CBB0818;"TERRENO";105475
MOLISE;CAMPOBASSO;CAMPOMARINO;"Contrada Rivolta del Re -";PATRIMONIO INDISPONIBILE;CB0955;CBB0871;"AREA COMPLESSO INDUSTRIALE.";2597
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"STRADA STATALE N° 17 SNC";PATRIMONIO DISPONIBILE;IS0088;ISB0258;"TERRENI AGRICOLI, QUOTA 48/282";9360
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"CONTRADA AIA FRANCA SNC";PATRIMONIO DISPONIBILE;IS0772;ISB0684;"TERRENO AGRICOLO";1780
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"BRECCIARO SNC";PATRIMONIO DISPONIBILE;IS0777;ISB0688;"TERRENI AGRICOLI";1097
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"BRECCIARO SNC";PATRIMONIO DISPONIBILE;IS0778;ISB0689;"TERRENI AGRICOLI, QUOTA 1/2";320
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"BRECCIARO SNC";PATRIMONIO DISPONIBILE;IS0779;ISB0690;"TERRENO AGRICOLO, QUOTA 1/2";50
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"BRECCIARO SNC";PATRIMONIO DISPONIBILE;IS0783;ISB0693;"TERRENI AGRICOLI";13955
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"LOCALITA' CAMPODICIELLO  SNC";PATRIMONIO DISPONIBILE;IS1262;ISB0997;"TERRENO AGRICOLO, QUOTA 2/24";1090
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"LOCALITA' SERRA CAPOCIA SNC";PATRIMONIO DISPONIBILE;IS1261;ISB0999;"TERRENI AGRICOLI, QUOTA 2/24";3680
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"STRADA COMUNALE TRATTURO SNC";PATRIMONIO DISPONIBILE;IS1323;ISB1006;"TERRENI AGRICOLI, QUOTA 1/3";2280
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"STRADA COMUNALE TRATTURO SNC";PATRIMONIO DISPONIBILE;IS1324;ISB1007;"TERRENI AGRICOLI, QUOTA 1/3";19770
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"LOCALITA' CAMPODICIELLO  SNC";PATRIMONIO DISPONIBILE;IS1325;ISB1008;"TERRENO AGRICOLO - QUOTA 2/24";3330
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"NON DEFINITO SNC";PATRIMONIO DISPONIBILE;IS1214;ISB1009;"TERRENI AGRICOLI - QUOTA 2/24";2780
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"VIA CESE SNC";PATRIMONIO DISPONIBILE;IS1339;ISB1019;"SUOLI AGRICOLI, QUOTA 1/3";615
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"VIA CESE SNC";PATRIMONIO DISPONIBILE;IS1337;ISB1020;"SUOLO AGRICOLO";690
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"NON DEFINITO SNC";PATRIMONIO DISPONIBILE;IS1183;ISB1023;"CORTE DI PERTINENZA, QUOTA 1/3";39
MOLISE;ISERNIA;CANTALUPO NEL SANNIO;"Strada Interpoderale Brecciara -";PATRIMONIO DISPONIBILE;IS1503;ISB1132;"TERRENO AGRICOLO";840
MOLISE;ISERNIA;CAPRACOTTA;"LOCALITA' VALLE SORDA SNC";PATRIMONIO DISPONIBILE;IS0113;ISB0314;"TERRENO AGRICOLO";2420
MOLISE;ISERNIA;CAPRACOTTA;"VIA VALLESORDA -";PATRIMONIO DISPONIBILE;IS0114;ISB0315;"TERRENO AGRICOLO";1250
MOLISE;ISERNIA;CAPRACOTTA;"STRADA COMUNALE ORTO IANIRO SNC";PATRIMONIO DISPONIBILE;IS0115;ISB0316;"TERRENO AGRICOLO, QUOTA 1/16";6340
MOLISE;ISERNIA;CAPRACOTTA;"STRADA COMUNALE ORTO IANIRO SNC";PATRIMONIO DISPONIBILE;IS0116;ISB0317;"TERRENO AGRICOLO, QUOTA 1/16";550
MOLISE;ISERNIA;CAPRACOTTA;"STRADA COMUNALE SERRA TRE CONFINI CAPRACOTTA SNC";PATRIMONIO DISPONIBILE;IS0117;ISB0318;"TERRENO AGRICOLO, QUOTA 1/2";3450
MOLISE;ISERNIA;CAPRACOTTA;"STRADA VICINALE CIMENTO SNC";PATRIMONIO DISPONIBILE;IS0118;ISB0319;"TERRENO AGRICOLO, QUOTA 1/2";1870
MOLISE;ISERNIA;CAPRACOTTA;"LOCALITA' FOSSATA SNC";PATRIMONIO DISPONIBILE;IS0119;ISB0320;"TERRENO AGRICOLO, QUOTA 1/8";400
MOLISE;ISERNIA;CAPRACOTTA;"STRADA COMUNALE PREGORIO SNC";PATRIMONIO DISPONIBILE;IS0120;ISB0321;"TERRENO AGRICOLO, QUOTA 1/8";1290
MOLISE;ISERNIA;CAPRACOTTA;"STRADA COMUNALE FONTE FREDDA snc";PATRIMONIO DISPONIBILE;IS0279;ISB0321;"TERRENO AGRICOLO, QUOTA 1/8";1850
MOLISE;ISERNIA;CAPRACOTTA;"SANTUARIO ITALICO -";DEMANIO STORICO ARTISTICO;IS0583;ISD0005;"RESTI SANTUARIO ITALICO";27880
MOLISE;ISERNIA;CAROVILLI;"STRADA STATALE  ISTONIA SNC";PATRIMONIO DISPONIBILE;IS0050;ISB0335;"TERRENO AGRICOLO";880
MOLISE;ISERNIA;CAROVILLI;"SS ISTONIA SNC";PATRIMONIO DISPONIBILE;IS0051;ISB0336;"TERRENO AGRICOLO";5950
MOLISE;ISERNIA;CARPINONE;"C/DA CALCARA snc";PATRIMONIO DISPONIBILE;IS0005;ISB0004;"TERRENO AGRICOLO";2070
MOLISE;ISERNIA;CARPINONE;"COLLE MADONNA DEL FIORE snc";PATRIMONIO DISPONIBILE;IS0006;ISB0009;"TERRENO AGRICOLO";3850
MOLISE;ISERNIA;CARPINONE;"FRATTALUSO snc";PATRIMONIO DISPONIBILE;IS0007;ISB0010;"TERRENO AGRICOLO";1540
MOLISE;ISERNIA;CARPINONE;"- -";PATRIMONIO DISPONIBILE;IS1488;ISB1126;"TERRENO BOSCHIVO";1370
MOLISE;ISERNIA;CARPINONE;"- -";PATRIMONIO DISPONIBILE;IS1489;ISB1127;"TERRENO BOSCHIVO";2310
MOLISE;ISERNIA;CARPINONE;"- -";PATRIMONIO DISPONIBILE;IS1490;ISB1128;"TERRENO BOSCHIVO";4270
MOLISE;ISERNIA;CARPINONE;"- -";PATRIMONIO DISPONIBILE;IS1491;ISB1129;"TERRENO BOSCHIVO";470
MOLISE;ISERNIA;CARPINONE;"- -";PATRIMONIO DISPONIBILE;IS1492;ISB1130;"TERRENO BOSCHIVO";800
MOLISE;CAMPOBASSO;CASACALENDA;"VIA PIETRACUPA SNC";PATRIMONIO INDISPONIBILE;CB0880;CBB0835;"CASERMA CORPO FORESTALE DELLO STATO. AREA PERTINENZIALE.";3715
MOLISE;ISERNIA;CASTEL SAN VINCENZO;"LOCALITA' ABBAZIA DI SAN VINCENZO AL VOLTURNO -";DEMANIO STORICO ARTISTICO;IS0585;ISD0007;"ABBAZIA CAROLINGIA DI SAN VINCENZO AL VOLTURNO";7260
MOLISE;ISERNIA;CASTEL SAN VINCENZO;"- -";DEMANIO STORICO ARTISTICO;IS1383;ISD0017;"TERRENI INTERNI ALL'AREA ARCHEOLOGICA DI SAN VINCENZO AL VOLTURNO";10420
MOLISE;ISERNIA;CASTEL SAN VINCENZO;"- -";DEMANIO STORICO ARTISTICO;IS1385;ISD0018;"TERRENI INTERNI ALL'AREA ARCHEOLOGICA DI SAN VINCENZO AL VOLTURNO.";2389
MOLISE;ISERNIA;CASTEL SAN VINCENZO;"- -";DEMANIO STORICO ARTISTICO;IS1384;ISD0019;"TERRENI INTERNI ALL'AREA ARCHEOLOGICA DI SAN VINCENZO AL VOLTURNO.";4196
MOLISE;ISERNIA;CASTEL SAN VINCENZO;"- -";DEMANIO STORICO ARTISTICO;IS1386;ISD0020;"TERRENI INTERNI ALL'AREA ARCHEOLOGICA DI SAN VINCENZO AL VOLTURNO";5172
MOLISE;CAMPOBASSO;CASTELBOTTACCIO;"CONTRADA DIFENZA SNC";PATRIMONIO DISPONIBILE;CB0771;CBB0780;"TERRENO AGRICOLO INCOLTO P.LLE 485-471-486";3540
MOLISE;ISERNIA;CASTELPETROSO;"CONTRADA VALLE QUARTANA SNC";PATRIMONIO DISPONIBILE;IS0635;ISB0553;"TERRENO AGRICOLO, QUOTA 1/2";130
MOLISE;ISERNIA;CASTELPETROSO;"CONTRADA VALLE QUARTANA SNC";PATRIMONIO DISPONIBILE;IS0637;ISB0555;"TERRENO EDIFICABILE IN ZONA B - COMPLETAMENTO EDILIZIO, QUOTA 1/2";32
MOLISE;ISERNIA;CASTELPETROSO;"CONTRADA COLLE RAMIGLIERI SNC";PATRIMONIO DISPONIBILE;IS0638;ISB0556;"TERRENO AGRICOLO, QUOTA 1/2";2510
MOLISE;ISERNIA;CASTELPETROSO;"- -";PATRIMONIO DISPONIBILE;IS1307;ISB0982;"TERRENI AGRICOLI E EDIFICABILI";2320
MOLISE;ISERNIA;CASTELPETROSO;"- -";PATRIMONIO DISPONIBILE;IS1428;ISB1092;"TERRENO AGRICOLO SITO ALLA LOCALITA' GUADA LARGO - QUOTA 1/6";480
MOLISE;ISERNIA;CASTELPIZZUTO;"STRADA COMUNALE DELLE CAPRUCCIE SNC";PATRIMONIO DISPONIBILE;IS0031;ISB0265;"TERRENO AGRICOLO";4510
MOLISE;ISERNIA;CASTELPIZZUTO;"STRADA COMUNALE PERETE SNC";PATRIMONIO DISPONIBILE;IS0032;ISB0266;"TERRENO AGRICOLO";6960
MOLISE;ISERNIA;CASTELPIZZUTO;"STRADA VICINALE TENNE SNC";PATRIMONIO DISPONIBILE;IS0094;ISB0267;"TERRENI AGRICOLI";8630
MOLISE;ISERNIA;CASTELPIZZUTO;"LOCALITA' MONTE S. LEONARDO SNC";PATRIMONIO DISPONIBILE;IS0033;ISB0268;"TERRENO BOSCHIVO";1890
MOLISE;ISERNIA;CASTELPIZZUTO;"LOCALITA' CESE SNC";PATRIMONIO DISPONIBILE;IS0095;ISB0269;"TERRENO AGRICOLO";3530
MOLISE;ISERNIA;CASTELPIZZUTO;"LOCALITA' ANNUNZIATA SNC";PATRIMONIO DISPONIBILE;IS0034;ISB0270;"TERRENO AGRICOLO";4200
MOLISE;ISERNIA;CASTELPIZZUTO;"LOCALITA' CESE SNC";PATRIMONIO DISPONIBILE;IS0096;ISB0271;"TERRENO AGRICOLO";3980
MOLISE;ISERNIA;CASTELPIZZUTO;"STRADA COMUNALE FOLGARE SNC";PATRIMONIO DISPONIBILE;IS0097;ISB0272;"TERRENI AGRICOLI";3570
MOLISE;ISERNIA;CASTELPIZZUTO;"STRADA VICINALE FOLGARE SNC";PATRIMONIO DISPONIBILE;IS0098;ISB0273;"TERRENO BOSCHIVO";1260
MOLISE;ISERNIA;CASTELPIZZUTO;"LOCALITA' SIERRE SNC";PATRIMONIO DISPONIBILE;IS0035;ISB0274;"TERRENO AGRICOLO";3570
MOLISE;CAMPOBASSO;CERCEMAGGIORE;"CONTRADA CARPINETI SNC";PATRIMONIO DISPONIBILE;CB0014;CBB0522;"TERRENO AGRICOLO";1813
MOLISE;CAMPOBASSO;CERCEMAGGIORE;"- -";PATRIMONIO DISPONIBILE;CB0762;CBB0769;"TERRENO AGRICOLO";5340
MOLISE;CAMPOBASSO;CERCEMAGGIORE;"- -";PATRIMONIO DISPONIBILE;CB0763;CBB0770;"TERRENO AGRICOLO";2170
MOLISE;CAMPOBASSO;CERCEMAGGIORE;"- -";PATRIMONIO DISPONIBILE;CB0764;CBB0771;"TERRENO AGRICOLO";11970
MOLISE;CAMPOBASSO;CERCEMAGGIORE;"STRADA COMUNALE ROCCA SNC";DEMANIO STORICO ARTISTICO;CB0214;CBD0008;"FABBRICATO";89,71
MOLISE;ISERNIA;CERRO AL VOLTURNO;"VIA TRIGNINA snc";PATRIMONIO DISPONIBILE;IS0078;ISB0239;"TERRENO";200
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS0970;ISB0776;"TERRENO AGRICOLO QUOTA 2/54";900
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS0969;ISB0778;"TERRENO AGRICOLO QUOTA 9/84";640
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS0968;ISB0779;"TERRENO AGRICOLO QUOTA 9/84";80
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS0971;ISB0780;"TERRENO AGRICOLO IN LOCALITA' CERRO AL VOLTURNO";1220
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS0972;ISB0781;"TERRENO AGRICOLO QUOTA 2/54";2730
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS0983;ISB0788;"TERRENO AGRICOLO, QUOTA 1/9";180
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS0984;ISB0789;"TERRENO A DESTINAZIONE PROMISCUA, QUOTA 1/9";11
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS0986;ISB0791;"TERRENI AGRICOLI, QUOTA 1/27";740
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS0987;ISB0792;"TERRENO AGRICOLO, QUOTA 1/27";1170
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS0988;ISB0793;"TERREN AGRICOLI, QUOTA 1/27";270
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS0989;ISB0794;"TERRENI AGRICOLI CON SOVRASTANTE MANUFATTO, QUOTA 1/27";1200
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS0990;ISB0795;"TERRENO AGRICOLO, QUOTA 1/27";2610
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS0991;ISB0796;"TERRENO AGRICOLO, QUOTA 1/9";500
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS0992;ISB0797;"TERRENO A DESTINAZIONE PROMISCUA, QUOTA 1/27";300
MOLISE;ISERNIA;CERRO AL VOLTURNO;"LOCALITA' FOCI SNC";PATRIMONIO DISPONIBILE;IS1058;ISB0835;"TERRENO AGRICOLO";780
MOLISE;ISERNIA;CERRO AL VOLTURNO;"LOCALITA' SAN GIOVANNI SNC";PATRIMONIO DISPONIBILE;IS1059;ISB0836;"TERRENO AGRICOLO";1780
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS1062;ISB0837;"TERRENO AGRICOLO";4920
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS1063;ISB0838;"TERRENI AGRICOLI QUOTA 1/10";1590
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS1064;ISB0839;"TERRENI AGRICOLI QUOTA 1/10";5700
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS1065;ISB0840;"TERRENI AGRICOLI QUOTA 1/30";12690
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS1066;ISB0841;"TERRENO AGRICOLO QUOTA 1/30";2590
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS1067;ISB0842;"TERRENO AGRICOLO, QUOTA 1/5";50
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS1068;ISB0843;"TERRENO AGRICOLO QUOTA 1/10";560
MOLISE;ISERNIA;CERRO AL VOLTURNO;"- -";PATRIMONIO DISPONIBILE;IS1069;ISB0844;"TERRENO AGRICOLO";1580
